API,Well
501331008900,KU 14-06
501331008901,KU 14-06RD
501331009000,KU 21-06
501331009001,KU 21-06RD
501331009100,KU 43-06
501331009101,KU 43-06RD
501331009300,KU 43-07
501331009700,KU 34-31
501331009800,KU 33-32
501332012100,KDU 221-8
501332013900,KU 44-30
501332031900,KDU 5
501332034200,KU 14X-06
501332034800,KU 34-32
501332034900,KU 11-17
501332035100,KU 14-32
501332035600,KTU 13-06
501332037100,KBU 23X-06
501332038000,KBU 33-07
501332048700,KBU 33-06
501332049500,KU 31-07X
501332055800,KU 21-7X
